序号	文件名	环ID	节点	路由耗时(ns)
200	QmNan63K8UxXzhCAcBhy2Xy4gj2SjGBQiySkFDGt2krA9i	ring0	node32	502
201	QmT5ZnzWR2Y9bwtWypVQgFoYMSyi8CDt2Mh3eFeDu4cFc1	ring1	node9	506
202	QmVGBb9S18SdihpSiEUocEztuVeCiY25hNhAJxCTQSfrL3	ring3	node15	5709
203	QmcU9xYccCtyMYSpEZS1X5vAtFxhKrFWsp7wyWtNJXhWLV	ring0	node24	539
204	QmNvADtJe4kST5yv5SEsyUKDcbqK3Cnz57YY2MThcjHwah	ring3	node19	596
205	QmVjnHtfw3jnYJnFPjGk9b5FBcaPA6HHcHEpRdHE3Ks1P6	ring2	node14	634
206	QmeKLzUApSGCaBd4RcudRm8PwKRHukk2CfnkK5ekqS2BuR	ring1	node13	635
207	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	520
208	QmW8F51aDY6gs6Rpj2EXzTrp4Kvk1Q9VVtJUdr9SYCBwfL	ring1	node13	599
209	QmW8F51aDY6gs6Rpj2EXzTrp4Kvk1Q9VVtJUdr9SYCBwfL	ring1	node13	484
210	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	500
211	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	472
212	QmYpp86PLiHyAn4bFhXHzjcp4HP9QeUNqZKvvZ1ijsjKha	ring2	node38	818
213	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	467
214	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	459
215	QmR5yrjy9KF9Wz5vLHCGXMXiL28UAbiDxwMZRXd4yeVEQq	ring1	node21	565
216	QmePERuSk6kmLPBknRgSH9NitZLXqQSWQ3yLZzhuhqPTpy	ring1	node13	512
217	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	474
218	QmVmiXAVhUfrk66gqNfnXfo5xdC5bQDLwy3rfKwXabibZw	ring0	node28	523
219	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	474
220	QmVmiXAVhUfrk66gqNfnXfo5xdC5bQDLwy3rfKwXabibZw	ring0	node28	451
221	QmSRHZZHAja9VC6k2ttfTMn9tGaAaAE1hmSuSvt1hETuvD	ring3	node31	543
222	QmVVufsquQXMUEff2rucq7seeqjS5Ef4ZGp2p2sYv4v1L6	ring0	node12	538
223	QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31	ring3	node19	591
224	QmcTLEPoA2NT6j7ny7pi1MGNnjFxK6icB1qsPX49xDXzjC	ring1	node25	500
225	QmTfRPuCgmqvNHdiAR187CnTBF7NGEWmDgbWnVdVWEXhKG	ring1	node29	480
226	QmeKLzUApSGCaBd4RcudRm8PwKRHukk2CfnkK5ekqS2BuR	ring1	node13	469
227	QmW4NFHK3eDUd3rHVcSLJasV6BRQCkdzrf4dmwYtWo87XS	ring1	node9	483
228	QmSLSCRgqJA1RPRTtSBHriXj32nWAkbZqRs33gUKrXE6BK	ring3	node7	522
229	QmU5MdhB8gBBsD248oExTBDq5QWWZ7aBZufNbqfmwVRFX2	ring1	node33	541
230	QmQFuNPHWeYL2D66wtwNXEJ8hpcdsJiQi8SF2ef6DQiGCo	ring2	node26	577
231	QmXwHsbG9Qhz7VCaiQD2NStXZkyNRicKPGZQcFiiaG9iWc	ring2	node22	563
232	QmXiHxZK9vQDLehVLUsoNirXmUox6DUVPsfmGv4ZfP9Pfp	ring0	node12	490
233	QmZFnUm3bjSyEPrvxEa3fR9eUxnkfQeLmPTzDhAmCWtbMZ	ring3	node3	751
234	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	485
235	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	551
236	QmaWVDkM9y8RzXD6j9n6CGHg1w65562LkuSvFu35LM3fUp	ring3	node31	486
237	QmNan63K8UxXzhCAcBhy2Xy4gj2SjGBQiySkFDGt2krA9i	ring0	node32	464
238	QmRbQRNaG8ma71z19zN69ALiwietTYzx2XqSFe7rEFfhfT	ring0	node24	508
239	QmXoypizjW3WknFiJnKLwHCnL72vedxjQkDDP1mXWo6uco	ring2	node2	515
240	QmfFzMB7oZhmTZ8aXEj2anhBL6zk4KnuV2LqwV7vZQWwF4	ring3	node19	512
241	QmeinMgudQ4TjF96kRrKMpZCE5B6SSdrEqCCo3L3vmRGGa	ring2	node34	553
242	QmUVcqBYntKcD3hnkG5xyHjAfTNtRCoboiQJWoFjxGF6NR	ring1	node5	630
243	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	567
244	Qmeb5P4JismM2GU8TrbrECHqcc9bU4F5wHiC76XKXUUtBP	ring1	node9	4556
245	QmWgZrnApP1HqC65JmB6vRZDmSXnFP6tYJfzEezmUY817S	ring0	node12	631
246	QmSLSCRgqJA1RPRTtSBHriXj32nWAkbZqRs33gUKrXE6BK	ring3	node7	649
247	QmSLSCRgqJA1RPRTtSBHriXj32nWAkbZqRs33gUKrXE6BK	ring3	node7	577
248	QmQFuNPHWeYL2D66wtwNXEJ8hpcdsJiQi8SF2ef6DQiGCo	ring2	node26	704
